settings,CA,ASR
001_002,0.84375,0.0
001_003,0.75625,0.25
001_004,0.80625,0.375
001_005,0.7875,1.0
001_006,0.66875,0.0
001_007,0.75,0.5
001_008,0.4625,0.375
001_009,0.85625,0.0
001_010,0.76875,1.0
002_001,0.7375,1.0
002_003,0.50625,1.0
002_004,0.81875,0.5
002_005,0.41875,1.0
002_006,0.3125,0.875
002_007,0.6375,0.25
002_008,0.86875,0.0
002_009,0.725,0.875
002_010,0.83125,0.875
003_001,0.70625,0.875
003_002,0.7875,1.0
003_004,0.775,0.75
003_005,0.63125,0.375
003_006,0.69375,1.0
003_007,0.66875,0.0
003_008,0.65625,0.75
003_009,0.725,1.0
003_010,0.74375,0.375
std,0.13440963800543365,0.37974253063721997
mean,0.7016203703703704,0.5925925925925926
