settings,CA,ASR
001_002,0.96875,1.0
001_003,0.99375,1.0
001_004,0.94375,1.0
001_005,0.9875,0.625
001_006,0.88125,1.0
001_007,0.9875,1.0
001_008,0.9625,0.75
001_009,0.79375,1.0
001_010,0.95625,1.0
002_001,0.9875,1.0
002_003,0.9625,1.0
002_004,0.9625,0.875
002_005,0.9625,1.0
002_006,0.96875,0.75
002_007,0.9875,0.875
002_008,0.95625,1.0
002_009,0.93125,1.0
002_010,0.99375,1.0
003_001,0.9875,1.0
003_002,0.31875,1.0
003_004,0.9625,1.0
003_005,0.96875,1.0
003_006,0.94375,1.0
003_007,0.99375,1.0
003_008,0.95625,1.0
003_009,0.98125,1.0
003_010,0.99375,1.0
004_001,0.96875,1.0
004_002,0.94375,1.0
004_003,0.96875,1.0
004_005,0.9875,1.0
004_006,0.9875,0.625
004_007,0.9375,0.5
004_008,0.9625,1.0
004_009,0.975,0.875
004_010,0.90625,0.625
005_001,0.95625,1.0
005_002,0.96875,1.0
005_003,0.98125,1.0
005_004,0.98125,1.0
005_006,0.9875,1.0
005_007,0.9375,1.0
005_008,0.99375,1.0
005_009,0.96875,1.0
005_010,0.8625,1.0
006_001,0.98125,1.0
006_002,1.0,1.0
006_003,0.98125,1.0
006_004,0.975,1.0
006_005,0.975,1.0
006_007,0.98125,1.0
006_008,0.9875,1.0
006_009,0.96875,1.0
006_010,0.99375,1.0
007_001,0.96875,0.625
007_002,0.96875,1.0
007_003,0.94375,0.75
007_004,0.975,0.875
007_005,0.9875,0.875
007_006,0.95,1.0
007_008,1.0,1.0
007_009,0.99375,1.0
007_010,0.96875,1.0
008_001,0.9375,1.0
008_002,0.94375,0.75
008_003,0.88125,0.75
008_004,0.99375,1.0
008_005,0.98125,0.875
008_006,0.98125,0.875
008_007,0.925,0.75
008_009,0.95,1.0
008_010,0.975,1.0
009_001,0.94375,1.0
009_002,0.99375,1.0
009_003,0.975,0.75
009_004,0.9875,0.875
009_005,0.8375,1.0
009_006,0.925,1.0
009_007,0.975,0.875
009_008,0.9625,1.0
009_010,0.99375,0.875
010_001,0.9625,0.875
010_002,0.9875,1.0
010_003,1.0,1.0
010_004,0.99375,1.0
010_005,0.99375,0.875
010_006,0.9875,0.875
010_007,0.9875,0.875
010_008,0.98125,1.0
010_009,0.9875,1.0
std,0.07610185973782478,0.1121823361461593
mean,0.9579166666666667,0.9388888888888889
