settings,CA,ASR
001_002,0.8625,1.0
001_003,0.975,0.875
001_004,0.99375,0.875
001_005,0.93125,1.0
001_006,0.9625,0.75
001_007,0.99375,0.875
001_008,0.9875,0.75
001_009,0.98125,1.0
001_010,0.975,0.875
002_001,0.80625,0.875
002_003,0.95,1.0
002_004,0.94375,0.375
002_005,0.94375,0.875
002_006,0.99375,0.375
002_007,0.9625,0.75
002_008,0.95,0.625
002_009,0.9625,1.0
002_010,1.0,0.5
003_001,0.9875,0.75
003_002,0.975,1.0
003_004,0.95,0.75
003_005,0.9625,1.0
003_006,0.94375,1.0
003_007,0.95625,0.875
003_008,0.7625,1.0
003_009,0.9625,1.0
003_010,0.95,0.75
004_001,0.9875,0.875
004_002,0.91875,1.0
004_003,0.95625,0.875
004_005,0.98125,0.875
004_006,0.9875,0.875
004_007,0.975,0.875
004_008,0.95,0.75
004_009,0.91875,1.0
004_010,0.925,0.875
005_001,0.9625,1.0
005_002,0.95625,0.5
005_003,0.95625,0.875
005_004,0.98125,0.875
005_006,0.9375,0.875
005_007,0.94375,0.375
005_008,0.95,0.625
005_009,0.99375,0.75
005_010,0.9875,0.375
006_001,0.96875,0.625
006_002,0.98125,0.75
006_003,0.99375,0.875
006_004,0.98125,0.875
006_005,0.9625,1.0
006_007,0.98125,1.0
006_008,0.96875,0.75
006_009,0.9875,1.0
006_010,0.99375,1.0
007_001,0.85625,0.5
007_002,0.99375,1.0
007_003,0.95625,0.625
007_004,0.9625,0.875
007_005,0.99375,0.75
007_006,0.99375,0.875
007_008,1.0,1.0
007_009,0.975,1.0
007_010,0.975,1.0
008_001,0.96875,0.5
008_002,0.99375,0.625
008_003,0.95,0.5
008_004,0.98125,0.875
008_005,0.9875,0.875
008_006,0.99375,0.875
008_007,1.0,0.875
008_009,1.0,0.75
008_010,0.84375,0.5
009_001,0.95,0.125
009_002,0.975,0.875
009_003,0.90625,1.0
009_004,0.9875,0.125
009_005,0.975,0.0
009_006,1.0,0.625
009_007,0.98125,0.0
009_008,0.93125,0.125
009_010,0.9875,0.375
010_001,1.0,1.0
010_002,0.99375,0.75
010_003,0.99375,0.625
010_004,0.99375,1.0
010_005,0.98125,0.375
010_006,0.98125,0.0
010_007,0.95625,0.75
010_008,0.94375,0.75
010_009,0.9875,0.625
std,0.04044887033170533,0.2601934228299221
mean,0.9629166666666666,0.7527777777777778
