settings,CA,ASR
001_002,0.95,1.0
001_003,0.9125,1.0
001_004,0.95,1.0
001_005,0.86875,1.0
001_006,0.9625,1.0
001_007,0.98125,1.0
001_008,1.0,1.0
001_009,0.75625,1.0
001_010,0.875,1.0
002_001,0.85625,1.0
002_003,0.875,1.0
002_004,1.0,1.0
002_005,0.9625,1.0
002_006,0.9875,0.875
002_007,0.525,1.0
002_008,0.96875,1.0
002_009,1.0,1.0
002_010,1.0,1.0
003_001,0.98125,1.0
003_002,0.725,1.0
003_004,0.975,1.0
003_005,0.94375,1.0
003_006,0.9875,1.0
003_007,1.0,0.875
003_008,0.99375,1.0
003_009,1.0,0.875
003_010,0.95,1.0
004_001,0.95,1.0
004_002,1.0,1.0
004_003,0.975,1.0
004_005,1.0,1.0
004_006,1.0,1.0
004_007,0.98125,1.0
004_008,1.0,1.0
004_009,0.975,1.0
004_010,0.975,1.0
005_001,0.93125,1.0
005_002,1.0,1.0
005_003,1.0,1.0
005_004,1.0,1.0
005_006,0.925,1.0
005_007,0.95625,1.0
005_008,0.93125,1.0
005_009,1.0,1.0
005_010,0.98125,1.0
006_001,0.99375,1.0
006_002,0.99375,1.0
006_003,0.98125,1.0
006_004,1.0,1.0
006_005,0.94375,1.0
006_007,0.9875,1.0
006_008,0.98125,1.0
006_009,0.975,1.0
006_010,0.96875,1.0
007_001,1.0,1.0
007_002,1.0,1.0
007_003,0.975,0.875
007_004,0.95625,1.0
007_005,0.875,0.375
007_006,0.9375,1.0
007_008,1.0,1.0
007_009,0.98125,1.0
007_010,1.0,1.0
008_001,0.96875,1.0
008_002,1.0,1.0
008_003,1.0,1.0
008_004,1.0,1.0
008_005,1.0,0.875
008_006,1.0,1.0
008_007,0.9125,1.0
008_009,0.76875,1.0
008_010,0.8625,1.0
009_001,0.90625,1.0
009_002,1.0,1.0
009_003,0.5,1.0
009_004,0.99375,1.0
009_005,0.98125,1.0
009_006,0.99375,1.0
009_007,1.0,1.0
009_008,0.975,1.0
009_010,0.98125,1.0
010_001,0.975,1.0
010_002,1.0,1.0
010_003,1.0,1.0
010_004,0.81875,0.875
010_005,1.0,0.875
010_006,0.9375,1.0
010_007,0.925,1.0
010_008,1.0,0.875
010_009,1.0,1.0
std,0.08658496972930516,0.07350621456888468
mean,0.9513194444444444,0.9819444444444444
