settings,CA,ASR
001_002,1.0,1.0
001_003,0.975,1.0
001_004,0.93125,1.0
001_005,0.9875,1.0
001_006,0.98125,1.0
001_007,0.975,1.0
001_008,0.98125,1.0
001_009,0.99375,1.0
001_010,0.99375,1.0
002_001,0.93125,1.0
002_003,1.0,1.0
002_004,0.98125,1.0
002_005,0.9375,1.0
002_006,0.96875,1.0
002_007,0.73125,1.0
002_008,0.975,1.0
002_009,0.95,1.0
002_010,0.99375,1.0
003_001,0.91875,1.0
003_002,1.0,1.0
003_004,1.0,1.0
003_005,0.7,1.0
003_006,1.0,1.0
003_007,0.95625,1.0
003_008,0.99375,1.0
003_009,0.9875,0.875
003_010,0.98125,1.0
004_001,0.7625,1.0
004_002,0.75,1.0
004_003,0.69375,1.0
004_005,1.0,1.0
004_006,0.99375,1.0
004_007,0.80625,1.0
004_008,0.9875,1.0
004_009,0.99375,1.0
004_010,0.98125,1.0
005_001,0.99375,1.0
005_002,1.0,1.0
005_003,1.0,1.0
005_004,1.0,1.0
005_006,1.0,1.0
005_007,0.8375,1.0
005_008,0.99375,1.0
005_009,0.96875,1.0
005_010,0.925,1.0
006_001,0.94375,1.0
006_002,1.0,1.0
006_003,1.0,1.0
006_004,0.775,1.0
006_005,1.0,1.0
006_007,0.8875,1.0
006_008,0.975,1.0
006_009,1.0,1.0
006_010,0.94375,1.0
007_001,0.9875,1.0
007_002,1.0,1.0
007_003,0.975,1.0
007_004,0.90625,1.0
007_005,0.96875,1.0
007_006,0.89375,1.0
007_008,1.0,1.0
007_009,1.0,1.0
007_010,1.0,1.0
008_001,0.975,1.0
008_002,0.95,1.0
008_003,1.0,1.0
008_004,0.8875,1.0
008_005,0.99375,1.0
008_006,0.99375,1.0
008_007,0.9875,0.875
008_009,1.0,1.0
008_010,0.975,1.0
009_001,0.975,1.0
009_002,0.98125,1.0
009_003,0.91875,1.0
009_004,0.9625,1.0
009_005,0.775,0.875
009_006,0.6,1.0
009_007,0.96875,0.875
009_008,0.975,1.0
009_010,0.9875,1.0
010_001,0.95625,1.0
010_002,0.96875,1.0
010_003,0.99375,1.0
010_004,1.0,1.0
010_005,0.99375,1.0
010_006,1.0,1.0
010_007,0.98125,1.0
010_008,0.9375,0.875
010_009,1.0,1.0
std,0.08084028344500739,0.0286326779556782
mean,0.9500694444444444,0.9930555555555556
