settings,CA,ASR
001_002,1.0,1.0
001_003,1.0,1.0
001_004,1.0,1.0
001_005,1.0,1.0
001_006,1.0,1.0
001_007,1.0,1.0
001_008,1.0,1.0
001_009,1.0,1.0
001_010,1.0,1.0
002_001,1.0,1.0
002_003,1.0,1.0
002_004,1.0,1.0
002_005,1.0,1.0
002_006,1.0,1.0
002_007,1.0,1.0
002_008,1.0,1.0
002_009,1.0,1.0
002_010,1.0,1.0
003_001,1.0,1.0
003_002,1.0,1.0
003_004,1.0,1.0
003_005,1.0,1.0
003_006,1.0,1.0
003_007,1.0,1.0
003_008,1.0,1.0
003_009,1.0,1.0
003_010,1.0,1.0
004_001,1.0,1.0
004_002,1.0,1.0
004_003,1.0,1.0
004_005,1.0,1.0
004_006,1.0,1.0
004_007,1.0,1.0
004_008,1.0,1.0
004_009,1.0,1.0
004_010,1.0,1.0
005_001,1.0,1.0
005_002,1.0,1.0
005_003,1.0,1.0
005_004,1.0,1.0
005_006,1.0,1.0
005_007,1.0,1.0
005_008,1.0,1.0
005_009,1.0,1.0
005_010,1.0,1.0
006_001,1.0,1.0
006_002,1.0,1.0
006_003,1.0,1.0
006_004,1.0,1.0
006_005,1.0,1.0
006_007,1.0,1.0
006_008,1.0,1.0
006_009,1.0,1.0
006_010,1.0,1.0
007_001,1.0,1.0
007_002,1.0,1.0
007_003,1.0,1.0
007_004,1.0,1.0
007_005,1.0,1.0
007_006,1.0,1.0
007_008,1.0,1.0
007_009,1.0,1.0
007_010,1.0,1.0
008_001,1.0,1.0
008_002,1.0,1.0
008_003,1.0,1.0
008_004,1.0,1.0
008_005,1.0,1.0
008_006,1.0,1.0
008_007,1.0,1.0
008_009,1.0,1.0
008_010,1.0,1.0
009_001,1.0,1.0
009_002,1.0,1.0
009_003,1.0,1.0
009_004,1.0,1.0
009_005,1.0,1.0
009_006,1.0,1.0
009_007,1.0,1.0
009_008,1.0,1.0
009_010,1.0,1.0
010_001,1.0,1.0
010_002,1.0,1.0
010_003,1.0,1.0
010_004,1.0,1.0
010_005,1.0,1.0
010_006,1.0,1.0
010_007,1.0,1.0
010_008,1.0,1.0
010_009,1.0,1.0
