settings,CA,ASR
001_002,0.80625,1.0
001_003,1.0,1.0
001_004,0.9875,1.0
001_005,1.0,1.0
001_006,1.0,0.75
001_007,1.0,0.875
001_008,1.0,0.75
001_009,1.0,0.0
001_010,1.0,1.0
002_001,1.0,1.0
002_003,1.0,0.625
002_004,1.0,1.0
002_005,1.0,0.375
002_006,1.0,1.0
002_007,1.0,1.0
002_008,1.0,1.0
002_009,1.0,0.25
002_010,1.0,0.25
003_001,1.0,0.0
003_002,1.0,0.25
003_004,1.0,0.625
003_005,1.0,0.0
003_006,1.0,0.125
003_007,1.0,0.0
003_008,1.0,0.375
003_009,1.0,0.625
003_010,1.0,0.0
004_001,1.0,0.875
004_002,0.9875,1.0
004_003,1.0,1.0
004_005,1.0,1.0
004_006,1.0,1.0
004_007,1.0,0.75
004_008,1.0,1.0
004_009,1.0,1.0
004_010,1.0,0.75
005_001,1.0,1.0
005_002,1.0,0.0
005_003,1.0,0.125
005_004,1.0,1.0
005_006,1.0,0.0
005_007,1.0,0.0
005_008,1.0,0.0
005_009,1.0,0.0
005_010,0.99375,0.0
006_001,1.0,1.0
006_002,1.0,1.0
006_003,1.0,1.0
006_004,1.0,1.0
006_005,1.0,1.0
006_007,1.0,1.0
006_008,1.0,1.0
006_009,1.0,1.0
006_010,1.0,1.0
007_001,1.0,0.5
007_002,0.99375,0.875
007_003,1.0,1.0
007_004,1.0,0.0
007_005,1.0,0.75
007_006,1.0,0.5
007_008,1.0,0.75
007_009,1.0,1.0
007_010,1.0,0.25
008_001,1.0,0.875
008_002,1.0,1.0
008_003,1.0,0.625
008_004,1.0,0.375
008_005,1.0,0.0
008_006,1.0,1.0
008_007,0.975,0.75
008_009,1.0,0.875
008_010,1.0,1.0
009_001,1.0,1.0
009_002,1.0,1.0
009_003,1.0,0.0
009_004,1.0,1.0
009_005,1.0,0.75
009_006,1.0,0.75
009_007,1.0,0.625
009_008,1.0,0.375
009_010,1.0,0.0
010_001,1.0,1.0
010_002,1.0,0.875
010_003,1.0,0.5
010_004,1.0,0.0
010_005,0.95625,1.0
010_006,1.0,1.0
010_007,0.95625,1.0
010_008,1.0,0.75
010_009,1.0,1.0
